accuracy,balanced_accuracy,precision_imbalance,recall_imbalance_sensitivity,recall_normal_specificity,f1_imbalance,f1_macro,mcc,roc_auc,pr_auc,tn,fp,fn,tp,repeat,fold
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,0,0
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,0,1
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,0,2
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,0,3
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,0,4
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,1,0
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,1,1
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,1,2
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,1,3
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,1,4
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,2,0
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,2,1
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,2,2
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,2,3
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,2,4
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,3,0
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,3,1
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,3,2
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,3,3
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,3,4
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,4,0
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,4,1
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,4,2
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,4,3
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,4,4
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,5,0
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,5,1
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,5,2
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,5,3
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,5,4
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,6,0
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,6,1
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,6,2
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,6,3
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,6,4
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,7,0
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,7,1
0.8726851851851852,0.5,0.8726851851851852,1.0,0.0,0.9320148331273177,0.46600741656365885,0.0,0.5,0.8726851851851852,0,55,0,377,7,2
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,7,3
0.8703703703703703,0.5,0.8703703703703703,1.0,0.0,0.9306930693069307,0.46534653465346537,0.0,0.5,0.8703703703703703,0,56,0,376,7,4
