accuracy,balanced_accuracy,precision_imbalance,recall_imbalance_sensitivity,recall_normal_specificity,f1_imbalance,f1_macro,mcc,roc_auc,pr_auc,tn,fp,fn,tp,repeat,fold
0.9976851851851852,0.9986702127659575,1.0,0.9973404255319149,1.0,0.9986684420772304,0.9949094422775533,0.9898703072039219,1.0,1.0,56,0,1,375,0,0
0.9953703703703703,0.9895828309621413,0.9973474801061007,0.9973474801061007,0.9818181818181818,0.9973474801061007,0.9895828309621413,0.9791656619242826,0.9998553170966964,0.99997889231563,54,1,1,376,0,1
0.9953703703703703,0.9895828309621413,0.9973474801061007,0.9973474801061007,0.9818181818181818,0.9973474801061007,0.9895828309621413,0.9791656619242826,0.9993730407523511,0.9999073147802817,54,1,1,376,0,2
0.9652777777777778,0.8812689969604863,0.9664082687338501,0.9946808510638298,0.7678571428571429,0.9803407601572739,0.9159129543360627,0.8384703006316631,0.9753039513677811,0.996109847736649,43,13,2,374,0,3
0.9791666666666666,0.9181818181818182,0.9766839378238342,1.0,0.8363636363636363,0.9882044560943644,0.9495477726016377,0.9038046967217517,0.9999517723655654,0.9999929827516034,46,9,0,377,0,4
0.9907407407407407,0.9869303110682421,0.9973333333333333,0.9920424403183024,0.9818181818181818,0.9946808510638298,0.979483282674772,0.9591703906291852,0.996093561610803,0.9994829029246695,54,1,3,374,1,0
0.9884259259259259,0.9705547112462005,0.9920424403183024,0.9946808510638298,0.9464285714285714,0.9933598937583001,0.9741574243566276,0.9483661356659696,0.9990501519756839,0.9998594173476001,53,3,2,374,1,1
0.9976851851851852,0.990909090909091,0.9973544973544973,1.0,0.9818181818181818,0.9986754966887417,0.9947505923810681,0.9895558494702456,0.9996624065589583,0.9999504848868539,54,1,0,377,1,2
0.9930555555555556,0.9882565710151917,0.9973404255319149,0.9946949602122016,0.9818181818181818,0.9960159362549801,0.9844944546139766,0.9690410534398745,0.9986013986013986,0.9997885611115763,54,1,2,375,1,3
0.9814814814814815,0.9285714285714286,0.9791666666666666,1.0,0.8571428571428571,0.9894736842105263,0.9562753036437247,0.9161253813129043,0.9979103343465046,0.9996855523946417,48,8,0,376,1,4
0.9583333333333334,0.9761273209549072,1.0,0.9522546419098143,1.0,0.9755434782608695,0.9174592391304348,0.8470254585703422,0.9975886182782734,0.999663335365266,55,0,18,359,2,0
0.9907407407407407,0.9946949602122016,1.0,0.9893899204244032,1.0,0.9946666666666667,0.9797894736842105,0.9603710937360441,0.9998070894622618,0.9999720231916817,55,0,4,373,2,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,0,0,376,2,2
0.9791666666666666,0.9196428571428572,0.9766233766233766,1.0,0.8392857142857143,0.988173455978975,0.950397407601138,0.905354101022068,0.9976253799392097,0.9996402035158243,47,9,0,376,2,3
0.9791666666666666,0.9181818181818182,0.9766839378238342,1.0,0.8363636363636363,0.9882044560943644,0.9495477726016377,0.9038046967217517,0.9996624065589582,0.9999508029319305,46,9,0,377,2,4
0.9953703703703703,0.9818181818181818,0.9947229551451188,1.0,0.9636363636363636,0.9973544973544973,0.9894179894179894,0.9790562860845438,1.0,1.0,53,2,0,377,3,0
0.9745370370370371,0.9093844984802432,0.974025974025974,0.9973404255319149,0.8214285714285714,0.985545335085414,0.9393746092902798,0.8832223122238826,0.9986702127659575,0.9998057545606868,46,10,1,375,3,1
0.9745370370370371,0.977773556231003,0.997275204359673,0.973404255319149,0.9821428571428571,0.9851951547779273,0.9471430319344182,0.897739491046687,0.9981477963525837,0.9997344907558819,55,1,10,366,3,2
0.9953703703703703,0.9818181818181818,0.9947229551451188,1.0,0.9636363636363636,0.9973544973544973,0.9894179894179894,0.9790562860845438,1.0,1.0,53,2,0,377,3,3
0.9699074074074074,0.9284060766819388,0.9814814814814815,0.9840848806366048,0.8727272727272727,0.9827814569536424,0.9317577009538854,0.8635646537817262,0.9942609115022908,0.9991691184624455,48,7,6,371,3,4
0.9953703703703703,0.9818181818181818,0.9947229551451188,1.0,0.9636363636363636,0.9973544973544973,0.9894179894179894,0.9790562860845438,0.9996624065589583,0.9999506350986143,53,2,0,377,4,0
0.9953703703703703,0.9818181818181818,0.9947229551451188,1.0,0.9636363636363636,0.9973544973544973,0.9894179894179894,0.9790562860845438,1.0,1.0,53,2,0,377,4,1
0.9884259259259259,0.9933510638297872,1.0,0.9867021276595744,1.0,0.9933065595716198,0.9752857584182886,0.9517483407292713,0.999762537993921,0.9999650974479254,56,0,5,371,4,2
0.9861111111111112,0.9454545454545454,0.9843342036553525,1.0,0.8909090909090909,0.9921052631578947,0.9672064777327936,0.9364573084392657,0.9997588618278274,0.9999649686174956,49,6,0,377,4,3
0.9953703703703703,0.9821428571428572,0.9947089947089947,1.0,0.9642857142857143,0.9973474801061007,0.9895828309621413,0.9793792286287206,1.0,1.0,54,2,0,376,4,4
0.9976851851851852,0.990909090909091,0.9973544973544973,1.0,0.9818181818181818,0.9986754966887417,0.9947505923810681,0.9895558494702456,0.9993248131179165,0.9999000477106955,54,1,0,377,5,0
0.9907407407407407,0.9946808510638299,1.0,0.9893617021276596,1.0,0.9946524064171123,0.9800848238982114,0.9609392568311219,0.9971504559270516,0.9996110655319672,56,0,4,372,5,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,0,0,377,5,2
0.9699074074074074,0.8895828309621413,0.9690721649484536,0.9973474801061007,0.7818181818181819,0.9830065359477124,0.9258467023172905,0.8586963633067164,0.9983120327947914,0.9997593627017535,43,12,1,376,5,3
0.9814814814814815,0.9361702127659575,0.981675392670157,0.9973404255319149,0.875,0.9894459102902374,0.9569871060885149,0.9159193857897407,0.9987651975683891,0.9998180486815831,49,7,1,375,5,4
0.9814814814814815,0.9738606221364843,0.9946380697050938,0.9840848806366048,0.9636363636363636,0.9893333333333333,0.9595789473684211,0.9199245607120157,0.9972027972027973,0.9996177696047053,53,2,6,371,6,0
0.9745370370370371,0.9776464914395948,0.9972826086956522,0.9734748010610079,0.9818181818181818,0.9852348993288591,0.9463989622694715,0.8963439905859446,0.9979262117193153,0.9996999680035025,54,1,10,367,6,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,0,0,376,6,2
