threshold,balanced_accuracy,f1_imbalance,precision_imbalance,recall_imbalance
0.05,0.9269382399481154,0.9888304862023654,0.9791802212101497,0.9986728599867286
0.055,0.9292006833870294,0.9891554387117976,0.9798177083333334,0.9986728599867286
0.06,0.9292006833870294,0.9891554387117976,0.9798177083333334,0.9986728599867286
0.065,0.9337255702648575,0.9898059848733969,0.9810951760104303,0.9986728599867286
0.07,0.9337255702648575,0.9898059848733969,0.9810951760104303,0.9986728599867286
0.075,0.9359880137037715,0.9901315789473685,0.9817351598173516,0.9986728599867286
0.08,0.9382504571426855,0.9904573872984535,0.9823759791122716,0.9986728599867286
0.08499999999999999,0.9382504571426855,0.9904573872984535,0.9823759791122716,0.9986728599867286
0.09,0.9382504571426855,0.9904573872984535,0.9823759791122716,0.9986728599867286
0.095,0.9405129005815995,0.9907834101382489,0.9830176355323318,0.9986728599867286
0.09999999999999999,0.9427753440205136,0.9911096476786302,0.9836601307189542,0.9986728599867286
0.105,0.9450377874594277,0.9914361001317523,0.9843034663178548,0.9986728599867286
0.10999999999999999,0.9473002308983417,0.9917627677100495,0.9849476439790575,0.9986728599867286
0.11499999999999999,0.9473002308983417,0.9917627677100495,0.9849476439790575,0.9986728599867286
0.12,0.9473002308983417,0.9917627677100495,0.9849476439790575,0.9986728599867286
0.12499999999999999,0.9473002308983417,0.9917627677100495,0.9849476439790575,0.9986728599867286
0.13,0.9495626743372557,0.992089650626236,0.9855926653569089,0.9986728599867286
0.135,0.9518251177761697,0.9924167490933069,0.9862385321100917,0.9986728599867286
0.13999999999999999,0.9518251177761697,0.9924167490933069,0.9862385321100917,0.9986728599867286
0.145,0.9518251177761697,0.9924167490933069,0.9862385321100917,0.9986728599867286
0.14999999999999997,0.9518251177761697,0.9924167490933069,0.9862385321100917,0.9986728599867286
0.15499999999999997,0.9518251177761697,0.9924167490933069,0.9862385321100917,0.9986728599867286
0.15999999999999998,0.9514933327728519,0.9920844327176781,0.9862295081967213,0.9980092899800929
0.16499999999999998,0.9514933327728519,0.9920844327176781,0.9862295081967213,0.9980092899800929
0.16999999999999998,0.9514933327728519,0.9920844327176781,0.9862295081967213,0.9980092899800929
0.175,0.9508297627662161,0.9914191419141914,0.9862114248194354,0.9966821499668215
0.18,0.9508297627662161,0.9914191419141914,0.9862114248194354,0.9966821499668215
0.185,0.9530922062051301,0.9917464509739188,0.9868593955321945,0.9966821499668215
0.19,0.9530922062051301,0.9917464509739188,0.9868593955321945,0.9966821499668215
0.195,0.9553546496440442,0.9920739762219286,0.9875082182774491,0.9966821499668215
0.19999999999999996,0.9576170930829582,0.992401717872481,0.9881578947368421,0.9966821499668215
0.20499999999999996,0.9576170930829582,0.992401717872481,0.9881578947368421,0.9966821499668215
0.20999999999999996,0.9576170930829582,0.992401717872481,0.9881578947368421,0.9966821499668215
0.21499999999999997,0.9572853080796404,0.9920687376074026,0.9881500987491771,0.9960185799601858
0.21999999999999997,0.9569535230763225,0.9917355371900827,0.9881422924901185,0.9953550099535501
0.22499999999999998,0.9569535230763225,0.9917355371900827,0.9881422924901185,0.9953550099535501
0.22999999999999998,0.9569535230763225,0.9917355371900827,0.9881422924901185,0.9953550099535501
0.235,0.9569535230763225,0.9917355371900827,0.9881422924901185,0.9953550099535501
0.24,0.9566217380730047,0.9914021164021164,0.988134475939354,0.9946914399469144
0.245,0.9566217380730047,0.9914021164021164,0.988134475939354,0.9946914399469144
0.24999999999999994,0.9588841815119188,0.9917300694674165,0.9887862796833773,0.9946914399469144
0.25499999999999995,0.9588841815119188,0.9917300694674165,0.9887862796833773,0.9946914399469144
0.25999999999999995,0.9588841815119188,0.9917300694674165,0.9887862796833773,0.9946914399469144
0.26499999999999996,0.9588841815119188,0.9917300694674165,0.9887862796833773,0.9946914399469144
0.26999999999999996,0.9608148399475149,0.9917245945051307,0.9894319682959049,0.9940278699402787
0.27499999999999997,0.9608148399475149,0.9917245945051307,0.9894319682959049,0.9940278699402787
