accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,precision_macro,recall_macro,recall_Normal,recall_Imbalance,recall_Horiz_Misalign,recall_Vert_Misalign,recall_Ball_Fault,recall_Outer_Race,roc_auc_ovr_macro,pr_auc_macro,repeat,fold
0.9788838612368024,0.9752584066329492,0.9726752909749985,0.9789429996580126,0.9734027573510723,0.9702045495094122,0.9752584066329492,0.9454545454545454,0.9814323607427056,0.963963963963964,0.9791044776119403,1.0,0.9815950920245399,0.9995300057201219,0.9967845173036927,0,0
0.9781132075471698,0.9601417954594599,0.9671730102829316,0.9780121076275154,0.9724295905843744,0.9750425636865918,0.9601417954594599,0.8545454545454545,0.9946949602122016,0.9684684684684685,0.9850746268656716,0.9827586206896551,0.9753086419753086,0.9972427267744143,0.982333980558821,0,1
0.9637735849056603,0.9622985529286513,0.9625022694049248,0.9639176305884326,0.9544692081870604,0.9633955213924666,0.9622985529286513,0.9642857142857143,0.9708222811671088,0.9547511312217195,0.9641791044776119,1.0,0.9197530864197531,0.998933519493578,0.994676478649307,0,2
0.9758308157099698,0.972345833097955,0.9643113081996465,0.9760707961619811,0.9697320326630775,0.9588304970817759,0.972345833097955,0.9636363636363636,1.0,0.918552036199095,0.9761194029850746,0.9942857142857143,0.9814814814814815,0.9996489955944344,0.9972715237336113,0,3
0.9554716981132075,0.9603649156629718,0.9445693493569575,0.9559446930093337,0.9441562728484919,0.9339916712736716,0.9603649156629718,0.9821428571428571,0.9521276595744681,0.8733031674208145,0.9731343283582089,1.0,0.9814814814814815,0.9977061425372876,0.9895518248747718,0,4
0.9524528301886792,0.9410471618636986,0.9393473689664921,0.9526699106447005,0.9405087641233367,0.9388176032011849,0.9410471618636986,0.8571428571428571,0.9946808510638298,0.9411764705882353,0.9074626865671642,0.9828571428571429,0.9629629629629629,0.9957743714287538,0.9784521622335115,1,0
0.9766037735849057,0.9778808231433048,0.9773894516397418,0.9766765215180687,0.9705377333423719,0.9772330103393356,0.9778808231433048,1.0,0.9761273209549072,0.9773755656108597,0.9850746268656716,0.9655172413793104,0.9631901840490797,0.9996253124138712,0.998325276189242,1,1
0.9833962264150944,0.9824677945801054,0.9788005935025602,0.9833961144148541,0.97910807912812,0.9756235836398441,0.9824677945801054,0.9821428571428571,0.9867021276595744,0.9504504504504504,0.9940298507462687,1.0,0.9814814814814815,0.9994986385405317,0.9981861637144194,1,2
0.9426415094339623,0.9359248954251291,0.9292627046705014,0.9435653346618111,0.9280129048265696,0.924732474621495,0.9359248954251291,0.8727272727272727,0.9257294429708223,0.9411764705882353,0.9582089552238806,0.9485714285714286,0.9691358024691358,0.9940859991736687,0.9679514262632875,1,3
0.9471698113207547,0.9423837412371752,0.9385250719121442,0.9471980404037629,0.9336867218954269,0.9378365308217922,0.9423837412371752,0.9454545454545454,0.9602122015915119,0.8378378378378378,0.991044776119403,1.0,0.9197530864197531,0.9927199686310811,0.9780418513670207,1,4
0.9788679245283018,0.9824316364104129,0.9716667281457935,0.9791043323706063,0.9734540383511432,0.963069712387863,0.9824316364104129,1.0,0.976063829787234,0.954954954954955,0.982089552238806,1.0,0.9814814814814815,0.9996237492043325,0.9986878758032192,2,0
0.9660377358490566,0.961535405894646,0.9531059164527541,0.9665189011218499,0.9573939636160634,0.947393140988955,0.961535405894646,0.9454545454545454,0.9814323607427056,0.9547511312217195,0.9611940298507463,1.0,0.9263803680981595,0.9987169982640034,0.9904310425253082,2,1
0.9803773584905661,0.9720404086390247,0.9753893720504383,0.9803928705594556,0.9752893219679108,0.9791089977041629,0.9720404086390247,0.9090909090909091,0.9893899204244032,0.972972972972973,0.9731343283582089,1.0,0.9876543209876543,0.9991623792713206,0.9952991229443792,2,2
0.9584905660377359,0.9582388763770964,0.9542669418619822,0.9584231275013795,0.9477819618129105,0.9519376359681674,0.9582388763770964,0.9821428571428571,0.9601063829787234,0.8959276018099548,0.991044776119403,0.9942857142857143,0.9259259259259259,0.9984114627256581,0.9936870832212851,2,3
0.9584905660377359,0.94496246605881,0.9536813202219235,0.958434443386054,0.9476212957471178,0.9635110399101915,0.94496246605881,0.8571428571428571,0.9628647214854111,0.9004524886877828,0.9850746268656716,0.9827586206896551,0.9814814814814815,0.9952860495792036,0.973649522666786,2,4
0.9735849056603774,0.9585056905695094,0.9610091800354751,0.9734500799584093,0.966700532851063,0.9636496662066837,0.9585056905695094,0.8571428571428571,0.9946949602122016,0.9230769230769231,0.9761194029850746,1.0,1.0,0.9963039675095411,0.9774378914369993,3,0
0.9569811320754718,0.9542948840546813,0.9556390644480457,0.9561706965003808,0.9463422823022487,0.9600715685190576,0.9542948840546813,0.9642857142857143,0.9840425531914894,0.8198198198198198,0.9880597014925373,0.9942528735632183,0.9753086419753086,0.9960687347812174,0.9881717151066068,3,1
0.969811320754717,0.9772882269247957,0.9602878492887016,0.9702797997697309,0.9624841130606655,0.9472913888287434,0.9772882269247957,0.9818181818181818,0.925531914893617,0.9774774774774775,0.9850746268656716,1.0,0.9938271604938271,0.9993458291372695,0.9946017121499979,3,2
0.9773584905660377,0.9776919068755535,0.9749364439961618,0.9774239446720955,0.9714761808638546,0.9724712867649336,0.9776919068755535,0.9818181818181818,0.9708222811671088,0.9592760180995475,0.991044776119403,1.0,0.9631901840490797,0.9995458714543172,0.9979078421166468,3,3
0.9554716981132075,0.9394193927133355,0.9443013978791491,0.9554902825939751,0.9441544451088474,0.9509195676877691,0.9394193927133355,0.8727272727272727,0.9946949602122016,0.9592760180995475,0.9492537313432836,0.8914285714285715,0.9691358024691358,0.9982853639475043,0.9895570849302336,3,4
0.9471698113207547,0.9299473661327341,0.9253738799006695,0.948000733868698,0.9339122974800802,0.9223802921020794,0.9299473661327341,0.7857142857142857,0.9124668435013262,0.9547511312217195,0.9850746268656716,0.9540229885057471,0.9876543209876543,0.9950483215006013,0.9697979585887828,4,0
0.9668174962292609,0.9662557843566858,0.9640186897818149,0.9668327487171933,0.9583093276482796,0.9628366357069734,0.9662557843566858,0.9821428571428571,0.9973474801061007,0.9321266968325792,0.9522388059701492,0.9827586206896551,0.950920245398773,0.9987297616857816,0.9933461081839691,4,1
0.9652830188679246,0.9599833145147354,0.9540041066910935,0.9655759189675882,0.9563217697245605,0.9492357770985175,0.9599833145147354,0.9272727272727272,0.973404255319149,0.9414414414414415,0.9671641791044776,1.0,0.9506172839506173,0.997267830857696,0.9861662322784034,4,2
0.9818867924528302,0.9829408729191424,0.9782409703696345,0.9819191235362361,0.9771941067765971,0.9742214956847741,0.9829408729191424,1.0,0.986737400530504,0.9594594594594594,0.9880597014925373,0.9942528735632183,0.9691358024691358,0.9996739939970721,0.998668230726362,4,3
0.9894259818731118,0.9876429993589295,0.9901939743777909,0.9894244048214086,0.9867033582623955,0.9928760552105511,0.9876429993589295,0.9818181818181818,1.0,0.9683257918552036,0.9880597014925373,1.0,0.9876543209876543,0.9998007579328588,0.9989715258054207,4,4
0.9834087481146304,0.983485773847185,0.9746248329122836,0.9835977984691713,0.9791740208044446,0.9680134079018456,0.983485773847185,1.0,0.9973474801061007,0.9459459459459459,0.9880597014925373,0.9942528735632183,0.9753086419753086,0.9997526248889246,0.9984986714382633,5,0
0.9713207547169811,0.9716007633398119,0.9638375303455874,0.971445415718867,0.9640375818747748,0.956890357279209,0.9716007633398119,0.9454545454545454,0.9416445623342176,0.9728506787330317,0.9880597014925373,1.0,0.9815950920245399,0.9988873424699318,0.9941930029670542,5,1
0.9818867924528302,0.9638747144551457,0.9736753447079023,0.981757167528545,0.9772087069717832,0.9856014638263199,0.9638747144551457,0.8545454545454545,1.0,0.9774774774774775,0.982089552238806,1.0,0.9691358024691358,0.9960566845529052,0.9809438440964701,5,2
0.9637735849056603,0.9617302964742135,0.9598620495936743,0.9639968883189775,0.9543909645966618,0.9584368936724283,0.9617302964742135,0.9464285714285714,0.9601063829787234,0.9366515837104072,0.9761194029850746,0.9942857142857143,0.9567901234567902,0.9986453952213868,0.9924870709421169,5,3
0.959214501510574,0.9551557702609408,0.951908831210357,0.9592839815708301,0.9486238787878445,0.949416153463492,0.9551557702609408,0.9272727272727272,0.9761273209549072,0.8959276018099548,0.9611940298507463,0.9827586206896551,0.9876543209876543,0.9985898271623855,0.9911255445836985,5,4
0.9358490566037736,0.9227782902470655,0.9281737721050453,0.9361926492453131,0.9191094775860186,0.9343811151521747,0.9227782902470655,0.8571428571428571,0.9416445623342176,0.8914027149321267,0.9701492537313433,0.9195402298850575,0.9567901234567902,0.995442015639285,0.9760960292473323,6,0
0.9750943396226415,0.9765325035349028,0.9733367176448816,0.975176553101643,0.9686690777239382,0.9711292461292461,0.9765325035349028,1.0,0.973404255319149,0.9594594594594594,0.9880597014925373,1.0,0.9382716049382716,0.9995269781931698,0.9981414779568483,6,1
0.9705882352941176,0.9682817313180211,0.961307014122548,0.9706159575464861,0.9630206158854929,0.9558908336800528,0.9682817313180211,0.9642857142857143,0.9814323607427056,0.9004524886877828,0.9880597014925373,1.0,0.9754601226993865,0.9986593719314781,0.9934165747258988,6,2
0.9728301886792453,0.9714265402182813,0.9675554591899989,0.973040662681009,0.9658793402274424,0.9640904766049306,0.9714265402182813,0.9454545454545454,0.9708222811671088,0.9592760180995475,0.9701492537313433,0.9828571428571429,1.0,0.9987447051678217,0.9913362543959804,6,3
0.9645015105740181,0.9631009760349764,0.9590852106329911,0.9647019730327532,0.9554378030317933,0.9557076677053228,0.9631009760349764,0.9272727272727272,0.976063829787234,0.9594594594594594,0.9343283582089552,1.0,0.9814814814814815,0.9983214517900328,0.9899202626266369,6,4
